1.0242118835449219,16.5,21.4
2.0241613388061523,1.0,21.4
3.02419114112854,5.5,21.4
4.024194002151489,3.5,21.4
20.001,1.0,34.9,2.05,-0.048,34.9,0.0,1.0,0.0,2,2200.2,0.14,0.03,0.01,0.0,-1,0,0
20.501,2.0,34.9,2.05,0.048,34.9,0.0,1.0,1.0,2,2200.2,0.14,0.03,0.01,0.0,-1,0,0
21.001,2.0,34.9,2.1,0.0,34.9,0.0,2.0,0.0,2,2200.2,0.14,0.03,0.01,0.0,-1,0,0
21.501,1.0,34.9,2.05,-0.048,34.9,0.0,1.0,0.0,2,2200.2,0.14,0.03,0.01,0.0,-1,0,0
22.001,3.0,34.9,2.1,0.095,34.9,0.0,2.0,1.0,2,2200.2,0.14,0.03,0.01,0.0,-1,0,0
22.501,2.0,34.9,2.14,0.048,34.9,0.0,1.0,1.0,2,2200.2,0.14,0.03,0.01,0.0,-1,0,0
23.001,1.0,34.9,2.14,0.0,34.9,0.0,1.0,0.0,2,2200.2,0.14,0.03,0.01,0.0,-1,0,0
23.501,1.0,34.9,2.14,-0.048,34.9,0.0,1.0,0.0,2,2200.2,0.14,0.03,0.01,0.0,-1,0,0
24.001,2.0,34.9,2.14,0.0,34.9,0.0,2.0,1.0,2,2200.2,0.15,0.03,0.01,0.0,-1,0,0
24.501,1.0,34.9,2.1,0.0,34.9,0.0,0.0,0.0,2,2200.2,0.15,0.03,0.01,0.0,-1,0,0
25.001,15.3,34.9,2.78,0.586,34.9,0.0,10.0,5.0,2,2200.2,0.15,0.03,0.01,0.0,-1,0,0
25.501,4.0,34.9,2.82,0.048,34.9,0.0,3.0,1.0,2,2200.2,0.15,0.03,0.01,0.0,-1,0,0
26.001,2.0,34.9,2.78,0.0,34.9,0.0,1.0,1.0,2,2200.2,0.15,0.03,0.01,0.0,-1,0,0
26.501,1.0,34.9,2.73,-0.238,34.9,0.0,1.0,0.0,2,2200.2,0.15,0.03,0.01,0.0,-1,0,0
27.001,2.0,34.9,2.54,-0.095,34.9,0.0,1.0,1.0,2,2200.2,0.15,0.03,0.01,0.0,-1,0,0
27.501,1.0,34.9,2.4,0.0,34.9,0.0,1.0,0.0,2,2200.2,0.15,0.03,0.01,0.0,-1,0,0
28.001,3.0,34.9,2.49,0.048,34.9,0.0,2.0,0.0,2,2200.2,0.15,0.03,0.01,0.0,-1,0,0
28.501,2.0,34.9,2.49,0.048,34.9,0.0,2.0,0.0,2,2200.2,0.15,0.03,0.01,0.0,-1,0,0
