Time,CPU,Memory,CPU_roll,CPU_slope,Mem_roll,Mem_slope
55.501,1.0,22.4,1.58,0.0,22.4,0.0
56.001,1.0,22.4,1.58,0.0,22.4,0.0
56.501,2.0,22.4,1.62,0.095,22.4,0.0
57.001,2.0,22.4,1.72,0.0,22.4,0.0
57.501,1.0,22.4,1.67,0.0,22.4,0.0
58.001,1.0,22.4,1.67,-0.048,22.4,0.0
58.501,6.1,22.4,1.87,0.143,22.4,0.0
59.001,1.0,22.4,1.77,-0.048,22.4,0.0
59.501,3.0,22.4,1.81,0.048,22.4,0.0
60.001,2.0,22.4,1.81,0.048,22.4,0.0
