Time,CPU,Memory,CPU_roll,CPU_slope,Mem_roll,Mem_slope,CPU_norm,Memory_norm,CPU_roll_norm,Mem_roll_norm
0.501,34.0,22.3,34.0,0.0,22.3,0.0,0.34,0.11764705882352966,0.6150873965041398,0.11182795698924726
1.001,3.0,22.3,18.5,-15.5,22.3,0.0,0.03,0.11764705882352966,0.32989880404783806,0.11182795698924726
1.501,1.0,22.3,12.67,-11.0,22.3,0.0,0.01,0.11764705882352966,0.22263109475620974,0.11182795698924726
2.001,6.1,22.3,11.02,-6.975,22.3,0.0,0.061,0.11764705882352966,0.19227230910763568,0.11182795698924726
2.501,1.0,22.3,9.02,-6.6,22.3,0.0,0.01,0.11764705882352966,0.15547378104875803,0.11182795698924726
3.0,2.0,22.3,7.85,-5.333,22.3,0.0,0.02,0.11764705882352966,0.13394664213431462,0.11182795698924726
3.501,1.0,22.3,6.87,-4.714,22.3,0.0,0.01,0.11764705882352966,0.11591536338546457,0.11182795698924726
4.001,1.0,22.3,6.14,-4.125,22.3,0.0,0.01,0.11764705882352966,0.10248390064397422,0.11182795698924726
4.501,1.0,22.3,5.57,-3.667,22.3,0.0,0.01,0.11764705882352966,0.09199632014719411,0.11182795698924726
5.001,0.0,22.3,5.01,-3.4,22.3,0.0,0.0,0.11764705882352966,0.08169273229070836,0.11182795698924726
5.501,1.0,22.3,4.65,-3.0,22.3,0.0,0.01,0.11764705882352966,0.07506899724011039,0.11182795698924726
6.001,0.0,22.3,4.26,-2.833,22.3,0.0,0.0,0.11764705882352966,0.06789328426862926,0.11182795698924726
6.501,1.0,22.3,4.01,-2.538,22.3,0.0,0.01,0.11764705882352966,0.06329346826126955,0.11182795698924726
7.001,1.0,22.3,3.79,-2.357,22.3,0.0,0.01,0.11764705882352966,0.05924563017479301,0.11182795698924726
7.501,1.0,22.3,3.61,-2.2,22.3,0.0,0.01,0.11764705882352966,0.05593376264949402,0.11182795698924726
8.0,1.0,22.3,3.44,-2.062,22.3,0.0,0.01,0.11764705882352966,0.05280588776448942,0.11182795698924726
8.501,1.0,22.2,3.3,-1.941,22.29,-0.006,0.01,0.09803921568627448,0.05022999080036798,0.10967741935483831
9.0,1.0,22.2,3.17,-1.833,22.29,-0.006,0.01,0.09803921568627448,0.04783808647654094,0.10967741935483831
9.5,0.0,22.2,3.01,-1.789,22.28,-0.005,0.0,0.09803921568627448,0.04489420423183072,0.10752688172043014
10.0,2.0,22.2,2.96,-1.6,22.28,-0.005,0.02,0.09803921568627448,0.04397424103035879,0.10752688172043014
10.501,1.0,22.2,2.86,-1.571,22.28,-0.005,0.01,0.09803921568627448,0.042134314627414904,0.10752688172043014
11.001,2.0,22.2,1.34,-0.048,22.27,-0.005,0.02,0.09803921568627448,0.014167433302667896,0.1053763440860212
11.501,2.0,22.2,1.29,0.048,22.27,-0.005,0.02,0.09803921568627448,0.013247470101195953,0.1053763440860212
12.001,0.0,22.2,1.24,-0.29,22.26,-0.005,0.0,0.09803921568627448,0.01232750689972401,0.10322580645161303
12.501,2.0,22.2,1.05,0.048,22.26,-0.005,0.02,0.09803921568627448,0.008831646734130637,0.10322580645161303
13.001,1.0,22.2,1.05,-0.048,22.25,-0.005,0.01,0.09803921568627448,0.008831646734130637,0.10107526881720409
13.501,0.0,22.2,0.95,-0.048,22.25,-0.005,0.0,0.09803921568627448,0.006991720331186752,0.10107526881720409
14.0,1.0,22.2,0.95,0.0,22.24,-0.005,0.01,0.09803921568627448,0.006991720331186752,0.09892473118279514
14.501,1.0,22.2,0.95,0.0,22.24,-0.005,0.01,0.09803921568627448,0.006991720331186752,0.09892473118279514
15.001,1.0,22.2,0.95,0.048,22.23,-0.005,0.01,0.09803921568627448,0.006991720331186752,0.09677419354838697
